,DATETIME,Body of Water Name,DataContact,Lat ,LONG,Altitude (m),Maximum Depth (m),Mean Depth (m),Secchi Depth (m),Sampling Depth (m),Thermocline Depth (m),Surface Temperature (degrees celsius),Epilimnetic Temperature (degrees celsius),Total Nitrogen (ug/L),Total Phosphorus (ug/L),NO3 NO2 (mg/L),NH4 (mg/L),PO4 (ug/L),Total Chlorophyll a (ug/L),Total Chlorophyll b (ug/L),Zeaxanthin (ug/L),Diadinoxanthin (ug/L),Fucoxanthin (ug/L),Diatoxanthin (ug/L),Alloxanthin (ug/L),Peridinin (ug/L),Total Chlorophyll c2 (ug/L),Echinenone (ug/L),Lutein (ug/L),Violaxanthin (ug/L),Microcystin YR (ug/L),Microcystin dmRR (ug/L),Microcystin RR (ug/L),Microcystin dmLR (ug/L),Microcystin LR (ug/L),Microcystin LY (ug/L),Microcystin LW (ug/L),Microcystin LF (ug/L),Nodularin (ug/L),Cytotoxin Cylindrospermopsin (ug/L),Neurotoxin Anatoxin-a (ug/L)
169,2015-08-01 00:00:00,Mastis,Evanthia Mantzouki,55.97755556,22.24886111,126.0,5.0,2.6,0.45,3.0,,17.6,17.83,160.0,700.0,0.018,0.19,32.338,112.696,5.406,2.354,0.0,3.97,0.0,0.619,0.0,1.361,0.0,0.0,0.0,0.041,0.1663,0.8026,0.0669,0.3715,0.0,0.0,0.0,0.0,0.0,0.0
170,2015-08-24 00:00:00,Niedulis,Evanthia Mantzouki,54.39172222,24.36605556,132.0,7.0,3.7,0.95,6.0,4.7,20.8,19.78,30.0,1200.0,,0.29,,35.013,2.437,1.236,0.0,0.492,0.0,0.0,0.0,0.319,0.0,0.0,0.0,0.12,5.181,0.0721,0.2691,0.0347,0.0,0.0,0.0,0.0,0.2976,0.0338
171,2015-08-24 00:00:00,Pabezninkai,Evanthia Mantzouki,54.34941667,24.571,135.0,3.0,1.9,1.0,1.2,,21.2,21.2,70.0,1000.0,,0.03,,35.669,0.0,0.0,1.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2015-08-03 00:00:00,Rekyva,Evanthia Mantzouki,55.86075,23.31230556,126.0,5.0,2.0,0.43,2.0,0.25,19.9,18.82,50.0,600.0,,0.03,,92.959,0.0,13.651,14.295,1.618,0.0,1.198,0.0,1.037,0.0,0.0,0.0,0.017,0.0,0.0,0.0028,0.0466,0.0,0.0,0.0,0.0,0.0,0.0
173,2015-08-11 00:00:00,Simnas,Evanthia Mantzouki,54.39433333,23.643,88.0,5.0,2.2,0.4,2.5,1.81,24.8,23.93,20.0,800.0,,0.02,5.357,132.097,2.953,3.996,0.0,0.0,0.0,5.691,0.0,2.485,0.0,0.0,0.0,0.093,0.1088,1.6451,0.0225,0.5492,0.0,0.0,0.0,0.0,0.0,0.1
174,2015-08-18 00:00:00,Sitvys,Evanthia Mantzouki,54.98566667,25.21661111,130.0,5.0,2.2,0.7,4.0,3.75,20.8,20.08,130.0,800.0,,0.02,,53.623,1.03,1.627,1.99,0.0,0.0,0.0,3.993,2.207,0.0,0.0,0.0,0.143,3.5201,0.0,0.5038,0.0233,0.0,0.0,0.0,0.0,0.3796,0.29
175,2015-08-03 00:00:00,Talksa,Evanthia Mantzouki,55.93819444,23.33627778,103.0,8.0,3.5,0.65,5.0,0.25,21.9,19.44,,600.0,,0.02,5.173,52.728,2.261,1.921,0.601,1.665,0.0,0.378,0.968,0.755,0.0,0.0,0.0,0.475,2.2776,0.3061,1.1138,0.1664,0.0,0.0,0.0,0.0,0.0776,0.1028
176,2015-08-11 00:00:00,Udrija,Evanthia Mantzouki,54.43508333,23.85044444,71.0,5.0,,0.26,2.0,1.67,25.5,23.74,120.0,1800.0,,0.02,6.279,207.176,2.402,18.646,12.237,0.0,0.0,2.015,0.0,0.0,0.0,0.0,0.0,2.965,7.5326,0.0,2.5595,0.0,0.0,0.0,0.0,0.0,0.3195,0.071
177,2015-09-06 00:00:00,Dojran,Evanthia Mantzouki,41.19861111,22.73333333,320.0,8.0,3.0,2.8,7.0,5.77,28.8,27.43,50.0,1600.0,0.019,0.16,13.618,10.352,1.262,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.8436,0.0573,1.7334,0.0,0.0,0.0,0.0,0.0,0.0
178,2015-09-08 00:00:00,Ohrid,Evanthia Mantzouki,41.02722222,20.81138889,620.0,330.0,155.0,9.2,23.5,22.99,24.5,22.13,,600.0,0.008,0.04,5.231,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
