,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
40,2006-06-22 00:00:00,Newnan,Dana Stephens,29.6321944,-82.222278,0.58928,1786.66667,114.333333,37.3333333,0.0953663
41,2006-07-15 00:00:00,Newnan,Dana Stephens,29.6321944,-82.222278,0.4572,2146.66667,151.0,89.6666667,0.40549344
42,2006-09-19 00:00:00,Newnan,Dana Stephens,29.6321944,-82.222278,0.4572,2540.0,154.0,97.0,0.50665011
43,2006-11-27 00:00:00,Newnan,Dana Stephens,29.6321944,-82.222278,0.24384,4110.0,230.333333,190.666667,1.98309754
44,2006-01-24 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.6858,1632.5,159.75,17.25,0.16185661
45,2006-03-20 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.64008,1520.0,199.5,22.25,0.10549212
46,2006-05-18 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.6096,1772.5,209.25,16.75,0.23598086
47,2006-06-27 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.9144,1612.5,206.5,36.5,0.3428104
48,2006-07-26 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.98298,1410.0,153.75,30.75,0.97745295
49,2006-09-27 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.67056,1910.0,94.75,68.25,2.3945014
50,2006-11-28 00:00:00,Orange,Dana Stephens,29.4638611,-82.181111,0.85344,1507.5,54.75,26.0,0.44902135
51,2006-04-26 00:00:00,Santa Fe,Dana Stephens,29.7386667,-82.07225,1.4732,660.0,15.3333333,6.0,0.08604672
52,2006-05-23 00:00:00,Santa Fe,Dana Stephens,29.7386667,-82.07225,1.28016,660.0,15.0,9.33333333,0.01884411
53,2006-07-24 00:00:00,Santa Fe,Dana Stephens,29.7386667,-82.07225,1.6764,626.666667,14.6666667,9.66666667,0.03580522
54,2006-09-20 00:00:00,Santa Fe,Dana Stephens,29.7386667,-82.07225,1.9812,613.333333,13.6666667,10.3333333,0.03782595
55,2006-12-10 00:00:00,Santa Fe,Dana Stephens,29.7386667,-82.07225,1.8288,570.0,12.3333333,5.0,0.02519556
56,2006-05-26 00:00:00,Wauberg,Dana Stephens,29.5301111,-82.300483,0.39624,3180.0,238.0,229.666667,4.53069665
